Student Name:- SPWKLZWHCIE GAPCEXAS  
The Exam Marks are:- 
                      Exam6  :-  88       Grade:- C
                      Exam7  :-  95       Grade:- B
                      Exam8  :-  100       Grade:- A
                      Exam9  :-  87       Grade:- C
                      Exam10  :-  91       Grade:- B

Student Name:- DXTPGP NHZR Y
The Exam Marks are:- 
                      Exam1  :-  72       Grade:- F
                      Exam2  :-  100       Grade:- B
                      Exam3  :-  86       Grade:- C
                      Exam4  :-  100       Grade:- B
                      Exam5  :-  68       Grade:- F
                      Exam6  :-  89       Grade:- C
                      Exam7  :-  100       Grade:- B
                      Exam8  :-  84       Grade:- C
                      Exam9  :-  90       Grade:- C
                      Exam10  :-  95       Grade:- B

